smi,vis,prd
O=CCC(C)C,0.53,0.4438925
O=CC(OC=C1)=C1,1.6,1.3191686
C1=CC=CC=C1C=O,1.4,1.388408
OC1=CC=CC=C1C=O,2.5,2.4376025
CC(=O)C,0.31,0.3094572
C(C(C)=O)C,0.4,0.3732686
CC(CCC)=O,0.47,0.4018509
CC(CCCC)=O,0.58,0.58837384
C(C(C)C)C(C)=O,0.54,0.46607628
CC(C)=CC(C)=O,0.61,0.5509978
C(C(C)=O)C(C)(O)C,3.3,3.0479567
CC(CCCCC)=O,0.76,0.68567854
C(CC(C)=O)C(C)C,0.75,0.664616
CC(CCCCCC)=O,0.95,0.9430796
CC(CCCCCCC)=O,1.2,1.1357895
C(C(C)C)C(=O)CC(C)C,0.84,0.8250949
CC(CCCCCCCCC)=O,1.9,1.676352
O=C1CCCC1,1.1,1.0321265
O=C1CCCCC1,2.0,1.4697258
CC1=CC(=O)CC(C1)(C)C,2.3,2.4863875
O=CO,1.6,1.068734
CC(O)=O,1.1,1.2188141
O=C(O)CC,1.0,1.1878678
C=CC(O)=O,1.2,1.1294225
C(C(O)=O)CC,1.5,1.6084994
CC(C)C(O)=O,1.2,1.4968246
OC(=O)CC=C,1.4,1.6055633
CC(C(O)=O)=C,1.4,1.379849
O=C(O)CCCC,2.0,2.1882043
CC(C)CC(O)=O,2.0,1.9238876
O=C(O)CCCCC,2.9,2.6461072
O=C(O)CCCCCC,3.8,3.6328018
O=C(O)CCCCCCC,5.3,4.431445
O=C(O)CCCCCCCC,7.4,5.4867964
CCCCCCCC/C=C\CCCCCCCC(O)=O,28.4,28.894514
O=COC,0.33,0.32693794
O=COCC,0.38,0.34429148
O=COCCC,0.49,0.46529093
O=COC(C)C,0.34,0.35167587
O=COCCCC,0.64,0.53927654
O=COCC(C)C,0.62,0.51037073
O=COCCCCC,0.78,0.7359042
O=COCCC(C)C,0.49,0.6215227
O=COCCCCCC,0.96,0.94799626
O=COCCCCCCC,1.16,1.1950679
O=COCCCCCCCC,1.45,1.4598446
CC(OC)=O,0.37,0.38025782
C(OC(C)=O)C,0.43,0.3708633
CC(OC=C)=O,0.4,0.3625661
O=C(OCC=C)C,0.46,0.4780842
CC(OCCC)=O,0.56,0.49448463
CC(OC(C)C)=O,0.47,0.41739228
CC(OCC(C)C)=O,0.66,0.5691792
CC(OC(C)CC)=O,0.6,0.5779654
CC(OC(C)(C)C)=O,0.48,0.44134215
C(C)CCOC(C)=O,0.68,0.5997277
CC(OCCCCC)=O,0.84,0.79537827
C(C(C)C)COC(=O)C,0.81,0.6750652
CC(OCCCCCC)=O,1.1,1.0823377
CC(OCCCCCCCC)=O,1.6,1.644847
C(OC(C)=O)COCC,1.1,1.223104
C=CC(OC)=O,0.45,0.40702316
O=C(OC)CC,0.44,0.40309525
O=C(OC)CCC,0.55,0.46620733
O=C(OC)C(C)C,0.48,0.47180992
CCC(OCC)=O,0.5,0.45163247
O=C(OCC)C(O)C,2.2,2.1603975
CCC(OCCC)=O,0.64,0.55410403
CCCC(OCC)=O,0.63,0.5261752
CC(C)C(OCC)=O,0.56,0.5200732
O=C(OC)CC(C)C,0.48,0.54644793
O=C(OC)CCCC,0.62,0.6227468
CCC(OCCCC)=O,0.78,0.6890597
CCCC(OCCC)=O,0.81,0.6702439
CCCCCC(OC)=O,0.83,0.75677586
CCCCC(OCC)=O,0.77,0.71621186
O=C(OCC)CC(C)C,0.53,0.5170851
CCCC(OCCCC)=O,0.92,0.779334
O=C(OCC)CCCCC,0.97,0.8312636
O=C(OC)CCCCCC,1.0,0.9949534
O=C(OCC)CCCCCC,1.14,1.080514
O=C(OC)CCCCCCC,1.3,1.2045103
O=C(OCCCC)CCCC,1.2,1.0213046
O=C(OCC)CCCCCCC,1.4,1.301673
O=C(OC)CCCCCCCC,1.5,1.4759356
O=C(OC)CCCCCCCCC,1.9,1.7973748
O=C(OC)CCCCCCCCCCC,2.9,2.6150527
O=C(OC)CCCCCCCCCCCCC,4.2,3.6893983
CCCCCCC(OC(C)CCCCCC)=O,3.1,3.1080835
CCCC(OC(C)CCCCCCCCC)=O,3.6,2.918838
O=C(OCCCCCCCC)CCCCCCC,4.4,4.070232
CCCCC(OC(C)CCCCCCCCC)=O,3.7,3.5455418
CCCCCCCCC(OC(C)CCCCC)=O,3.7,3.3082042
CCCCCCCC(OC(C)CCCCCC)=O,3.6,3.6445634
O=C(OC)CCCCCCCCCCCCCCC,6.0,5.0353117
CCCCCCCCCCC(OC(C)CCCC)=O,4.3,3.8569384
CCCCCCC(OC(C)CCCCCCCCC)=O,4.9,4.9129825
CCCCCCCCCCC(OC(C)CCCCC)=O,5.0,4.5462556
CCCCCCCCCCCC(OC(C)CCCC)=O,5.4,4.51569
O=C(OC)CCCCCCCCCCCCCCCCC,6.0,6.621919
CCCCCCCCCCC(OC(C)CCCCCC)=O,5.8,5.7391834
CCCCCCCCCCCC(OC(C)CCCCC)=O,5.9,5.2684116
CCCCCCCCC(OC(C)CCCCCCCCC)=O,6.6,6.47286
CCCCCCCCCCCCCC(OC(C)CCCCC)=O,7.8,6.898348
CCCCCCCCCCCC(OC(C)CCCCCCCC)=O,9.7,8.274173
O=C(OC)CC(=O)C,1.6,1.2577937
O=C(OCC)CC(=O)C,1.5,1.2294806
O=C(OC)C=CC(=O)OC,3.4,2.3245187
O=C(OCC)C=CC(=O)OCC,2.9,3.3409097
O=C(OCCCC)C=CC(=O)OCCCC,4.6,4.2959247
O=C(OCC)CCCCCCCC(OCC)=O,4.5,4.2580566
O=C(OCC)CCCCCCCCC(OCC)=O,5.1,4.9804163
O=C(OCCCCC)CCCCCC(OCCCCC)=O,7.0,6.476499
O=C(OCCCC)CCCCCCCCC(OCCCC)=O,7.9,6.9949985
O=C(OC(CC)CC)CCCCCCCC(OC(CC)CC)=O,9.8,9.077092
O=C(OCCC(C)C)CCCCCCCCC(OCCC(C)C)=O,11.8,9.823099
O=C(OCCCCCC)CCCCCCCCC(OCCCCCC)=O,12.8,11.883686
O=C(OCC(CC)CCCC)CCCCC(OCC(CC)CCCC)=O,11.4,10.637889
O=C(OCC(CC)CCCC)CCCCCCCCC(OCC(CC)CCCC)=O,19.5,18.61386
O=C(OCC(OC(CC)=O)COC(CC)=O)CC,7.8,7.9392643
O=C(OCC(OC(CCC)=O)COC(CCC)=O)CCC,8.7,8.122093
CCCCCC(OCC(OC(CCCCC)=O)COC(CCCCC)=O)=O,14.0,12.709427
CCCCCCCC(OCC(COC(CCCCCCC)=O)OC(CCCCCCC)=O)=O,19.7,17.867968
O=C(CC(C(OCCC)=O)CC(OCCC)=O)OCCC,16.6,13.886031
O=C(CC(C(OCCCC)=O)CC(OCCCC)=O)OCCCC,13.2,12.840488
O=C(CC(C(OCCCCC)=O)CC(OCCCCC)=O)OCCCCC,17.4,16.114407
O=C(CC(C(OCCCCCC)=O)CC(OCCCCCC)=O)OCCCCCC,19.9,20.700415
O=C(CC(C(OCC(CC)CCCC)=O)CC(OCC(CC)CCCC)=O)OCC(CC)CCCC,42.5,37.13588
O=C(OC)C1=CC=CC=C1,1.9,1.4588193
OC1=CC=CC=C1C(OC)=O,2.5,2.8038442
O=C(OCC)C1=CC=CC=C1,2.0,1.7519846
O=C(OCC)C1=CC=CC=C1C(OCC)=O,10.6,8.740339
C[Si](C)(C)C,0.23,0.23773803
CC[SiH](CC)CC,0.39,0.31760848
CCO[SiH](OCC)OCC,0.51,0.4854642
CC[Si](CC)(CC)CC,0.6,0.47560462
