# V. Goussard et al., J. Chem. Inf. Model. 2020, 60, 4, 2012-2023
smi,vis
CC1=C(C)C=CC(C)=C1,0.92
CC1=CC(C)=CC(C)=C1,0.69
CCCC1=CC=CC=C1,0.79
CCC1=C(CC)C=CC=C1,0.9
CCC1=CC(CC)=CC=C1,0.8
CCC1=CC=C(CC)C=C1,0.89
CCCCC1=CC=CC=C1,0.97
CC(C)CC1=CC=CC=C1,0.81
CCC(C1=CC=CC=C1)C,0.97
CC1=CC=CC=C1CC,0.71
CC1=CC=CC(CC)=C1,0.66
CC1=CC=C(CC)C=C1,0.66
CCCCCCCCCCC1=CC=CC=C1,3.4
C1=CC=CC=C1C=C,0.7
C2=C1CCCCC1=CC=C2,2.0
CO,0.54
C(C)O,1.07
C(CO)C,1.9
CC(O)C,2.0
C(CCO)C,2.6
CC(O)CC,3.2
CC(C)CO,3.3
CC(C)(O)C,4.4
C(CCO)CC,3.5
CC(C)CCO,3.6
CCCCCCO,4.5
C(C(C)C)C(C)O,4.1
C(C(CC)CO)C,5.9
CCCCCCCO,5.8
CCCCCCCCO,7.5
C(C(CO)CC)CCC,6.3
CCCCCCCCCO,9.4
CCCCCCCCCCO,11.4
CCCCCCCCCCCO,14.3
CCCCCCCCCCCCO,16.3
C=CCO,1.2
C(OC)CO,1.5
OCC1=CC=CC=C1,5.3
C1=C(C)C=CC=C1O,12.7
C(CO)O,17.3
C(O)COCCO,29.2
C(C)OCCO,1.8
CC(O)COC,1.68
OCCOCCC,2.4
C(OCCO)CCC,2.9
OCCOCCOCC,3.9
OCCOCCOCCOC,6.7
OCCOCCCCCC,4.5
C(C)CCOCCOCCO,5.1
OCCOCCOCCO,38.0
OCCOCCOCCCCCC,6.3
OCCOCCOCCOCCCC,9.0
C(OCC)C,0.23
COCCCC,0.32
COC(C)(C)C,0.34
CCCOCC,0.3
CCCOCCC,0.4
CC(OC(C)C)C,0.35
O(C)CCCCC,0.42
O(CCCC)CC,0.41
CCCCOCCCC,0.64
O(CCCCC)CCCCC,0.98
C1(COCC2=CC=CC=C2)=CC=CC=C1,4.7
CC1CO1,0.3
C1=COC=C1,0.36
C1CCCO1,0.47
COCCOC,0.43
C1COCCO1,1.2
COCCOCCOC,0.98
COCCOCCOCCOCCOC,3.3
C(OC)OC,0.34
O(CC)COCC,0.45
O(C(OCC)C)CC,0.44
CC(OCCCC)OCCCC,1.2
O(C(OC(O1)C)C)C1C,1.1
CCOC(OCC)OCC,0.68
CCOCCOCCOCC,1.3
COC1=CC=CC=C1,1.0
CCOC1=CC=CC=C1,1.2
CCCOC1=CC=CC=C1,1.4
CCCC=O,0.42
C/C=C/C=O,0.52
O=CCC(C)C,0.53
O=CC(OC=C1)=C1,1.6
C1=CC=CC=C1C=O,1.4
OC1=CC=CC=C1C=O,2.5
CC(=O)C,0.31
C(C(C)=O)C,0.4
CC(CCC)=O,0.47
CC(CCCC)=O,0.58
C(C(C)C)C(C)=O,0.54
CC(C)=CC(C)=O,0.61
C(C(C)=O)C(C)(O)C,3.3
CC(CCCCC)=O,0.76
C(CC(C)=O)C(C)C,0.75
CC(CCCCCC)=O,0.95
CC(CCCCCCC)=O,1.2
C(C(C)C)C(=O)CC(C)C,0.84
CC(CCCCCCCCC)=O,1.9
O=C1CCCC1,1.1
O=C1CCCCC1,2.0
CC1=CC(=O)CC(C1)(C)C,2.3
O=CO,1.6
CC(O)=O,1.1
O=C(O)CC,1.0
C=CC(O)=O,1.2
C(C(O)=O)CC,1.5
CC(C)C(O)=O,1.2
OC(=O)CC=C,1.4
CC(C(O)=O)=C,1.4
O=C(O)CCCC,2.0
CC(C)CC(O)=O,2.0
O=C(O)CCCCC,2.9
O=C(O)CCCCCC,3.8
O=C(O)CCCCCCC,5.3
O=C(O)CCCCCCCC,7.4
CCCCCCCC/C=C\CCCCCCCC(O)=O,28.4
O=COC,0.33
O=COCC,0.38
O=COCCC,0.49
O=COC(C)C,0.34
O=COCCCC,0.64
O=COCC(C)C,0.62
O=COCCCCC,0.78
O=COCCC(C)C,0.49
O=COCCCCCC,0.96
O=COCCCCCCC,1.16
O=COCCCCCCCC,1.45
CC(OC)=O,0.37
C(OC(C)=O)C,0.43
CC(OC=C)=O,0.4
O=C(OCC=C)C,0.46
CC(OCCC)=O,0.56
CC(OC(C)C)=O,0.47
CC(OCC(C)C)=O,0.66
CC(OC(C)CC)=O,0.6
CC(OC(C)(C)C)=O,0.48
C(C)CCOC(C)=O,0.68
CC(OCCCCC)=O,0.84
C(C(C)C)COC(=O)C,0.81
CC(OCCCCCC)=O,1.1
CC(OCCCCCCCC)=O,1.6
C(OC(C)=O)COCC,1.1
C=CC(OC)=O,0.45
O=C(OC)CC,0.44
O=C(OC)CCC,0.55
O=C(OC)C(C)C,0.48
CCC(OCC)=O,0.5
O=C(OCC)C(O)C,2.2
CCC(OCCC)=O,0.64
CCCC(OCC)=O,0.63
CC(C)C(OCC)=O,0.56
O=C(OC)CC(C)C,0.48
O=C(OC)CCCC,0.62
CCC(OCCCC)=O,0.78
CCCC(OCCC)=O,0.81
CCCCCC(OC)=O,0.83
CCCCC(OCC)=O,0.77
O=C(OCC)CC(C)C,0.53
CCCC(OCCCC)=O,0.92
O=C(OCC)CCCCC,0.97
O=C(OC)CCCCCC,1.0
O=C(OCC)CCCCCC,1.14
O=C(OC)CCCCCCC,1.3
O=C(OCCCC)CCCC,1.2
O=C(OCC)CCCCCCC,1.4
O=C(OC)CCCCCCCC,1.5
O=C(OC)CCCCCCCCC,1.9
O=C(OC)CCCCCCCCCCC,2.9
O=C(OC)CCCCCCCCCCCCC,4.2
CCCCCCC(OC(C)CCCCCC)=O,3.1
CCCC(OC(C)CCCCCCCCC)=O,3.6
O=C(OCCCCCCCC)CCCCCCC,4.4
CCCCC(OC(C)CCCCCCCCC)=O,3.7
CCCCCCCCC(OC(C)CCCCC)=O,3.7
CCCCCCCC(OC(C)CCCCCC)=O,3.6
O=C(OC)CCCCCCCCCCCCCCC,6.0
CCCCCCCCCCC(OC(C)CCCC)=O,4.3
CCCCCCC(OC(C)CCCCCCCCC)=O,4.9
CCCCCCCCCCC(OC(C)CCCCC)=O,5.0
CCCCCCCCCCCC(OC(C)CCCC)=O,5.4
O=C(OC)CCCCCCCCCCCCCCCCC,6.0
CCCCCCCCCCC(OC(C)CCCCCC)=O,5.8
CCCCCCCCCCCC(OC(C)CCCCC)=O,5.9
CCCCCCCCC(OC(C)CCCCCCCCC)=O,6.6
CCCCCCCCCCCCCC(OC(C)CCCCC)=O,7.8
CCCCCCCCCCCC(OC(C)CCCCCCCC)=O,9.7
O=C(OC)CC(=O)C,1.6
O=C(OCC)CC(=O)C,1.5
O=C(OC)C=CC(=O)OC,3.4
O=C(OCC)C=CC(=O)OCC,2.9
O=C(OCCCC)C=CC(=O)OCCCC,4.6
O=C(OCC)CCCCCCCC(OCC)=O,4.5
O=C(OCC)CCCCCCCCC(OCC)=O,5.1
O=C(OCCCCC)CCCCCC(OCCCCC)=O,7.0
O=C(OCCCC)CCCCCCCCC(OCCCC)=O,7.9
O=C(OC(CC)CC)CCCCCCCC(OC(CC)CC)=O,9.8
O=C(OCCC(C)C)CCCCCCCCC(OCCC(C)C)=O,11.8
O=C(OCCCCCC)CCCCCCCCC(OCCCCCC)=O,12.8
O=C(OCC(CC)CCCC)CCCCC(OCC(CC)CCCC)=O,11.4
O=C(OCC(CC)CCCC)CCCCCCCCC(OCC(CC)CCCC)=O,19.5
O=C(OCC(OC(CC)=O)COC(CC)=O)CC,7.8
O=C(OCC(OC(CCC)=O)COC(CCC)=O)CCC,8.7
CCCCCC(OCC(OC(CCCCC)=O)COC(CCCCC)=O)=O,14.0
CCCCCCCC(OCC(COC(CCCCCCC)=O)OC(CCCCCCC)=O)=O,19.7
O=C(CC(C(OCCC)=O)CC(OCCC)=O)OCCC,16.6
O=C(CC(C(OCCCC)=O)CC(OCCCC)=O)OCCCC,13.2
O=C(CC(C(OCCCCC)=O)CC(OCCCCC)=O)OCCCCC,17.4
O=C(CC(C(OCCCCCC)=O)CC(OCCCCCC)=O)OCCCCCC,19.9
O=C(CC(C(OCC(CC)CCCC)=O)CC(OCC(CC)CCCC)=O)OCC(CC)CCCC,42.5
O=C(OC)C1=CC=CC=C1,1.9
OC1=CC=CC=C1C(OC)=O,2.5
O=C(OCC)C1=CC=CC=C1,2.0
O=C(OCC)C1=CC=CC=C1C(OCC)=O,10.6
C[Si](C)(C)C,0.23
CC[SiH](CC)CC,0.39
CCO[SiH](OCC)OCC,0.51
CC[Si](CC)(CC)CC,0.6
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O1,0.93
C[Si](C)(C)O[Si](C)(C)C,0.49
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,0.85
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,2.1
C[Si](C)(C)O[Si](C)(C)C[Si](C)(C)C,1.1
C[Si](C)(C)O[Si](CC)(CC)O[Si](C)(C)C,1.3
C[Si](O[Si](O[Si](C)(C)C)(C)O[Si](C)(C)C)(C)C,1.4
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,1.3
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,3.8
C[Si](O[Si](O[Si](C)(C)C)(CC)O[Si](C)(C)C)(C)C,1.7
CCCO[Si](OCCC)(OCCC)OCCC,1.3
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,1.8
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,2.4
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,10.8
C[Si](C)(C)C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C[Si](C)(C)C,3.5
C[Si](C)(C)C[Si](C)(C)O[Si](C)(CC)O[Si](C)(CC)O[Si](C)(C)C[Si](C)(C)C,4.8
C[Si](C)(C)C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C[Si](C)(C)C,4.4
C[Si](C)(C)C[Si](C)(C)O[Si](C)(CC)O[Si](C)(CC)O[Si](C)(CC)O[Si](C)(C)C[Si](C)(C)C,6.3
O=C(OC)OC,0.58
CC1COC(O1)=O,2.5
O=C(OCC)OCC,0.76
O=C(OCCC)OCCC,1.2
O=C(OCCCCCC)OCCCCCC,3.6
CC(OC(C)=O)=O,0.84
CCCCCCCCCCCCCC,2.0
O(CCCCCCCC)CCCCCCCC,3.0
CCCCCCCC(OCCCCCCCCCCCC)=O,4.2
CCCCCCCC(OCC(CCC)CCCCC)=O,4.3
O=C(OC(C)C)CCCCC(OC(C)C)=O,3.5
CCCCCCCCCCCC,1.4
CCCCC(CC)C(OCC(C)(C)COC(C(CC)CCCC)=O)=O,11.0
CCCCCCCCCCCC(OCCC(C)C)=O,4.3
O=C(OCCC(C)C)CCCCCCCCC(OCCC(C)C)=O,9.8
CCC(CCCC(CCCC(C)C)C)C,2.3
CC(C)(C)CC(C)CC(C)(C)C,1.0
CC(C)(C)CC(C)(C)CC(C)CC(C)(C)C,3.2
O=C(OCCCCCCCC)OCCCCCCCC,6.1
CCCCCCCC(OCCCOC(CCCCCCC)=O)=O,7.9
CC(C)(C)C(OCCCCCCCC(C)C)=O,3.4
CCCCCCCCCCCC(OCC(CC)CCCC)=O,6.1
CC(C)(COC(CCCCCC)=O)COC(CCCCCC)=O,7.4
CC(C)CCCCCC(OCCCCCCC(C)C)=O,5.4
O=C(OC(C)C)CCCCCCCCCCCCC,4.4
CCCCC(CC)COC(CCCCC(OCC(CC)CCCC)=O)=O,10.6
CC(C)CCCCCCCCCCCCCCC(OC(C)C)=O,8.5
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,6.9
